Common Name,Status
owl sp.,Accidental
Belted Kingfisher,Accidental
Williamson's Sapsucker,Accidental
Yellow-bellied Sapsucker,Accidental
Red-naped Sapsucker,Accidental
Yellow-bellied/Red-naped Sapsucker,Accidental
Red-breasted Sapsucker,Accidental
Red-naped x Red-breasted Sapsucker (hybrid),Accidental
Red-naped/Red-breasted Sapsucker,Accidental
sapsucker sp.,Accidental
Lewis's Woodpecker,Accidental
Red-headed Woodpecker,Accidental
Acorn Woodpecker,Accidental
American Three-toed Woodpecker,Accidental
Black-backed Woodpecker,Accidental
Downy Woodpecker,Accidental
Hairy Woodpecker,Accidental
Downy/Hairy Woodpecker,Accidental
White-headed Woodpecker,Accidental
Dryobates sp.,Accidental
Pileated Woodpecker,Accidental
Northern Flicker,Rare
woodpecker sp.,Accidental
American Kestrel,Rare
Merlin,Accidental
Gyrfalcon,Accidental
Peregrine Falcon,Accidental
Prairie Falcon,Accidental
large falcon sp.,Accidental
small falcon sp.,Accidental
falcon sp.,Accidental
diurnal raptor sp.,Accidental
Cockatiel,Accidental
Budgerigar,Accidental
Yellow-collared Lovebird,Accidental
parakeet sp.,Accidental
Olive-sided Flycatcher,Accidental
Western Wood-Pewee,Accidental
Western/Eastern Wood-Pewee,Accidental
pewee sp. (Contopus sp.),Accidental
Alder Flycatcher,Accidental
Willow Flycatcher,Accidental
Alder/Willow Flycatcher (Traill's Flycatcher),Accidental
Least Flycatcher,Accidental
Hammond's Flycatcher,Accidental
Gray Flycatcher,Accidental
Dusky Flycatcher,Accidental
Hammond's/Dusky Flycatcher,Accidental
Gray/Dusky Flycatcher,Accidental
Western Flycatcher,Accidental
Empidonax sp.,Accidental
Black Phoebe,Accidental
Eastern Phoebe,Accidental
Say's Phoebe,Accidental
phoebe sp.,Accidental
Vermilion Flycatcher,Accidental
Ash-throated Flycatcher,Accidental
Great Crested Flycatcher,Accidental
Myiarchus sp.,Accidental
Western Kingbird,Accidental
yellow-bellied kingbird sp.,Accidental
Eastern Kingbird,Accidental
Scissor-tailed Flycatcher,Accidental
new world flycatcher sp.,Accidental
White-eyed Vireo,Accidental
Yellow-throated Vireo,Accidental
Cassin's Vireo,Accidental
Plumbeous Vireo,Accidental
Cassin's/Plumbeous Vireo,Accidental
solitary vireo sp.,Accidental
Warbling Vireo,Accidental
Red-eyed Vireo,Accidental
vireo sp.,Accidental
Loggerhead Shrike,Accidental
Northern Shrike,Accidental
Loggerhead/Northern Shrike,Accidental
shrike sp.,Accidental
Canada Jay,Accidental
Pinyon Jay,Accidental
Steller's Jay,Accidental
Blue Jay,Accidental
Steller's x Blue Jay (hybrid),Accidental
California Scrub-Jay,Accidental
Woodhouse's Scrub-Jay,Accidental
California/Woodhouse's Scrub-Jay,Accidental
jay sp.,Accidental
Black-billed Magpie,Rare
Clark's Nutcracker,Accidental
American Crow,Rare
Common Raven,Rare
raven sp.,Accidental
crow/raven sp.,Accidental
corvid sp.,Accidental
Black-capped Chickadee,Rare
Mountain Chickadee,Accidental
Black-capped x Mountain Chickadee (hybrid),Accidental
Black-capped/Mountain Chickadee,Accidental
Chestnut-backed Chickadee,Accidental
Boreal Chickadee,Accidental
Mountain x Boreal Chickadee (hybrid),Accidental
chickadee sp.,Accidental
Juniper Titmouse,Accidental
Horned Lark,Accidental
Bank Swallow,Accidental
Tree Swallow,Accidental
Violet-green Swallow,Accidental
Tree/Violet-green Swallow,Accidental
Tachycineta sp.,Accidental
Purple Martin,Accidental
Northern Rough-winged Swallow,Accidental
Barn Swallow,Accidental
Cliff Swallow,Accidental
