Common Name,Status
Yellow-browed Warbler,Accidental
Bushtit,Accidental
Ruby-crowned Kinglet,Rare
Golden-crowned Kinglet,Rare
Ruby-crowned/Golden-crowned Kinglet,Accidental
White-breasted Nuthatch,Accidental
Pygmy Nuthatch,Accidental
Red-breasted Nuthatch,Rare
nuthatch sp.,Accidental
Brown Creeper,Accidental
Blue-gray Gnatcatcher,Accidental
Rock Wren,Accidental
Canyon Wren,Accidental
Northern House Wren,Accidental
Pacific Wren,Rare
Winter Wren,Accidental
Pacific/Winter Wren,Accidental
Sedge Wren,Accidental
Marsh Wren,Accidental
Bewick's Wren,Rare
wren sp.,Accidental
American Dipper,Accidental
European Starling,Rare
White-cheeked Starling,Accidental
Gray Catbird,Accidental
Brown Thrasher,Accidental
Sage Thrasher,Accidental
Northern Mockingbird,Accidental
mimid sp.,Accidental
Western Bluebird,Accidental
Mountain Bluebird,Accidental
bluebird sp.,Accidental
Townsend's Solitaire,Accidental
Varied Thrush,Accidental
Veery,Accidental
Gray-cheeked Thrush,Accidental
Swainson's Thrush,Accidental
Hermit Thrush,Accidental
Catharus sp.,Accidental
Wood Thrush,Accidental
Redwing,Accidental
American Robin,Rare
Varied Thrush/American Robin,Accidental
Fieldfare,Accidental
Dusky Thrush,Accidental
thrush sp.,Accidental
Red-flanked Bluetail,Accidental
Bohemian Waxwing,Accidental
Cedar Waxwing,Rare
Bohemian/Cedar Waxwing,Accidental
Zebra Finch,Accidental
White-rumped Munia,Accidental
Siberian Accentor,Accidental
House Sparrow,Rare
Eastern Yellow Wagtail,Accidental
Citrine Wagtail,Accidental
White Wagtail,Accidental
Tree/Olive-backed Pipit,Accidental
Red-throated Pipit,Accidental
Siberian Pipit,Accidental
American Pipit,Accidental
pipit sp.,Accidental
Brambling,Accidental
Evening Grosbeak,Accidental
Pine Grosbeak,Accidental
Eurasian Bullfinch,Accidental
Gray-crowned Rosy-Finch,Accidental
House Finch,Rare
Purple Finch,Accidental
House/Purple Finch,Accidental
Cassin's Finch,Accidental
Purple/Cassin's Finch,Accidental
Oriental Greenfinch,Accidental
Redpoll,Accidental
Red Crossbill,Accidental
White-winged Crossbill,Accidental
crossbill sp.,Accidental
European Goldfinch,Accidental
Pine Siskin,Rare
Lesser Goldfinch,Accidental
American Goldfinch,Rare
Pine Siskin x American Goldfinch (hybrid),Accidental
new world goldfinch sp.,Accidental
Spinus sp.,Accidental
Acanthis/Spinus sp.,Accidental
finch sp.,Accidental
Lapland Longspur,Accidental
Chestnut-collared Longspur,Accidental
Smith's Longspur,Accidental
longspur sp.,Accidental
Snow Bunting,Accidental
McKay's Bunting,Accidental
Pine Bunting,Accidental
Pallas's Bunting,Accidental
Pallas's/Reed Bunting,Accidental
Grasshopper Sparrow,Accidental
Chipping Sparrow,Accidental
Clay-colored Sparrow,Accidental
Field Sparrow,Accidental
Brewer's Sparrow,Accidental
Spizella sp.,Accidental
Black-throated Sparrow,Accidental
Lark Sparrow,Accidental
Lark Bunting,Accidental
American Tree Sparrow,Accidental
Spizella sp./American Tree Sparrow,Accidental
Fox Sparrow,Accidental
Dark-eyed Junco,Rare
White-crowned Sparrow,Rare
Golden-crowned Sparrow,Rare
White-crowned x Golden-crowned Sparrow (hybrid),Accidental
Harris's Sparrow,Accidental
White-throated Sparrow,Accidental
White-crowned x White-throated Sparrow (hybrid),Accidental
Golden-crowned x White-throated Sparrow (hybrid),Accidental
Dark-eyed Junco x White-throated Sparrow (hybrid),Accidental
White-crowned/White-throated Sparrow,Accidental
Zonotrichia sp.,Accidental
Vesper Sparrow,Accidental
LeConte's Sparrow,Accidental
Nelson's Sparrow,Accidental
Savannah Sparrow,Accidental
Song Sparrow,Rare
Lincoln's Sparrow,Accidental
Swamp Sparrow,Accidental
Song x Swamp Sparrow (hybrid),Accidental
Lincoln's/Swamp Sparrow,Accidental
Green-tailed Towhee,Accidental
Spotted Towhee,Rare
Spotted/Eastern Towhee (Rufous-sided Towhee),Accidental
new world sparrow sp.,Accidental
Yellow-breasted Chat,Accidental
Yellow-headed Blackbird,Accidental
Bobolink,Accidental
Western Meadowlark,Accidental
Orchard Oriole,Accidental
Hooded Oriole,Accidental
Bullock's Oriole,Accidental
Baltimore Oriole,Accidental
Bullock's x Baltimore Oriole (hybrid),Accidental
Bullock's/Baltimore Oriole,Accidental
Red-winged Blackbird,Rare
Brown-headed Cowbird,Accidental
Rusty Blackbird,Accidental
Brewer's Blackbird,Accidental
Rusty/Brewer's Blackbird,Accidental
Common Grackle,Accidental
Great-tailed Grackle,Accidental
blackbird sp.,Accidental
Ovenbird,Accidental
Northern Waterthrush,Accidental
Golden-winged Warbler,Accidental
Black-and-white Warbler,Accidental
Prothonotary Warbler,Accidental
Tennessee Warbler,Accidental
Orange-crowned Warbler,Accidental
Lucy's Warbler,Accidental
Nashville Warbler,Accidental
Connecticut Warbler,Accidental
MacGillivray's Warbler,Accidental
Mourning Warbler,Accidental
MacGillivray's x Mourning Warbler (hybrid),Accidental
MacGillivray's/Mourning Warbler,Accidental
Common Yellowthroat,Accidental
Hooded Warbler,Accidental
American Redstart,Accidental
Cape May Warbler,Accidental
Northern Parula,Accidental
Magnolia Warbler,Accidental
Bay-breasted Warbler,Accidental
Blackburnian Warbler,Accidental
Yellow Warbler,Accidental
Chestnut-sided Warbler,Accidental
Blackpoll Warbler,Accidental
Black-throated Blue Warbler,Accidental
Palm Warbler,Accidental
Pine Warbler,Accidental
Yellow-rumped Warbler,Rare
Prairie Warbler,Accidental
Black-throated Gray Warbler,Accidental
Townsend's Warbler,Accidental
Black-throated Gray x Townsend's Warbler (hybrid),Accidental
Black-throated Gray/Townsend's Warbler,Accidental
Hermit Warbler,Accidental
Townsend's x Hermit Warbler (hybrid),Accidental
Townsend's/Hermit Warbler,Accidental
Black-throated Green Warbler,Accidental
Townsend's x Black-throated Green Warbler (hybrid),Accidental
Setophaga sp.,Accidental
Canada Warbler,Accidental
Wilson's Warbler,Accidental
new world warbler sp.,Accidental
Summer Tanager,Accidental
Scarlet Tanager,Accidental
Western Tanager,Accidental
tanager sp. (Piranga sp.),Accidental
Northern Cardinal,Accidental
Rose-breasted Grosbeak,Accidental
Black-headed Grosbeak,Accidental
Rose-breasted x Black-headed Grosbeak (hybrid),Accidental
Rose-breasted/Black-headed Grosbeak,Accidental
Pheucticus sp.,Accidental
Blue Grosbeak,Accidental
Lazuli Bunting,Accidental
Indigo Bunting,Accidental
Lazuli x Indigo Bunting (hybrid),Accidental
Lazuli/Indigo Bunting,Accidental
Painted Bunting,Accidental
Dickcissel,Accidental
Saffron Finch,Accidental
passerine sp.,Accidental
bird sp.,Accidental
