Common Name,Status
Western/Clark's Grebe,Accidental
grebe sp.,Accidental
Red-billed Tropicbird,Accidental
Red-throated Loon,Accidental
Pacific Loon,Accidental
Common Loon,Accidental
Yellow-billed Loon,Accidental
loon sp.,Accidental
Wedge-rumped Storm-Petrel,Accidental
Black Storm-Petrel,Accidental
Least Storm-Petrel,Accidental
storm-petrel sp. (dark-rumped),Accidental
storm-petrel sp. (white-rumped),Accidental
storm-petrel sp.,Accidental
Juan Fernandez Petrel,Accidental
Wedge-tailed Shearwater,Accidental
Sooty Shearwater,Accidental
Wood Stork,Accidental
Magnificent Frigatebird,Accidental
frigatebird sp.,Accidental
Blue-footed Booby,Accidental
Double-crested Cormorant,Accidental
Neotropic Cormorant,Accidental
Double-crested/Neotropic Cormorant,Accidental
cormorant sp.,Accidental
White Ibis,Accidental
Glossy Ibis,Accidental
White-faced Ibis,Accidental
Glossy x White-faced Ibis (hybrid),Accidental
Glossy/White-faced Ibis,Accidental
ibis sp.,Accidental
Roseate Spoonbill,Accidental
American Bittern,Accidental
Least Bittern,Accidental
Yellow-crowned Night Heron,Accidental
Black-crowned Night Heron,Accidental
Yellow-crowned/Black-crowned Night Heron,Accidental
Little Blue Heron,Accidental
Tricolored Heron,Accidental
Reddish Egret,Accidental
Snowy Egret,Accidental
Egretta sp.,Accidental
Green Heron,Accidental
Western Cattle-Egret,Accidental
Great Egret,Accidental
Great Blue Heron,Rare
heron sp.,Accidental
white egret sp.,Accidental
American White Pelican,Accidental
Brown Pelican,Accidental
California Condor,Accidental
Black Vulture,Accidental
Turkey Vulture,Rare
new world vulture sp.,Accidental
Osprey,Accidental
White-tailed Kite,Accidental
Swallow-tailed Kite,Accidental
Golden Eagle,Accidental
Sharp-shinned Hawk,Accidental
Cooper's Hawk,Rare
Sharp-shinned/Cooper's Hawk,Accidental
American Goshawk,Accidental
Cooper's Hawk/American Goshawk,Accidental
Accipitrine hawk sp. (former Accipiter sp.),Accidental
Northern Harrier,Accidental
Bald Eagle,Accidental
Golden/Bald Eagle,Accidental
Mississippi Kite,Accidental
Common Black Hawk,Accidental
Harris's Hawk,Accidental
Gray Hawk,Accidental
Broad-winged Hawk,Accidental
Red-shouldered Hawk,Accidental
Zone-tailed Hawk,Accidental
Short-tailed Hawk,Accidental
Swainson's Hawk,Accidental
Red-tailed Hawk,Rare
Rough-legged Hawk,Accidental
Red-tailed x Rough-legged Hawk (hybrid),Accidental
Ferruginous Hawk,Accidental
Buteo sp.,Accidental
Buteo/eagle sp.,Accidental
hawk sp.,Accidental
eagle sp.,Accidental
American Barn Owl,Accidental
Flammulated Owl,Accidental
Whiskered Screech-Owl,Accidental
Western Screech-Owl,Accidental
screech-owl sp.,Accidental
Great Horned Owl,Accidental
Northern Pygmy-Owl,Accidental
Ferruginous Pygmy-Owl,Accidental
Glaucidium sp.,Accidental
Elf Owl,Accidental
Burrowing Owl,Accidental
Spotted Owl,Accidental
Long-eared Owl,Accidental
Short-eared Owl,Accidental
Long-eared/Short-eared Owl,Accidental
Northern Saw-whet Owl,Accidental
pygmy-owl/saw-whet owl sp.,Accidental
owl sp.,Accidental
Eared Quetzal,Accidental
Elegant Trogon,Accidental
Ringed Kingfisher,Accidental
Belted Kingfisher,Accidental
Green Kingfisher,Accidental
