Common Name,Status
Semipalmated Plover,Accidental
Common Ringed/Semipalmated Plover,Accidental
Siberian Sand-Plover,Accidental
Mountain Plover,Accidental
Snowy Plover,Accidental
small plover sp.,Accidental
plover sp.,Accidental
Upland Sandpiper,Accidental
Whimbrel,Accidental
Long-billed Curlew,Accidental
curlew sp.,Accidental
Bar-tailed Godwit,Accidental
Hudsonian Godwit,Accidental
Marbled Godwit,Accidental
godwit sp.,Accidental
Short-billed Dowitcher,Accidental
Long-billed Dowitcher,Accidental
Short-billed/Long-billed Dowitcher,Accidental
Wilson's Snipe,Accidental
Wilson's Phalarope,Accidental
Red Phalarope,Accidental
Red-necked Phalarope,Accidental
Red/Red-necked Phalarope,Accidental
phalarope sp.,Accidental
Spotted Sandpiper,Accidental
Solitary Sandpiper,Accidental
Wandering Tattler,Accidental
Marsh Sandpiper,Accidental
Lesser Yellowlegs,Accidental
Willet,Accidental
Greater Yellowlegs,Accidental
Lesser/Greater Yellowlegs,Accidental
Tringa sp.,Accidental
Ruddy Turnstone,Accidental
Black Turnstone,Accidental
Great Knot,Accidental
Red Knot,Accidental
Surfbird,Accidental
Ruff,Accidental
Sharp-tailed Sandpiper,Accidental
Curlew Sandpiper,Accidental
Stilt Sandpiper,Accidental
Red-necked Stint,Accidental
Buff-breasted Sandpiper,Accidental
Sanderling,Accidental
Dunlin,Accidental
Rock Sandpiper,Accidental
Baird's Sandpiper,Accidental
Little Stint,Accidental
White-rumped Sandpiper,Accidental
Least Sandpiper,Accidental
Pectoral Sandpiper,Accidental
Sharp-tailed/Pectoral Sandpiper,Accidental
Western Sandpiper,Accidental
Semipalmated Sandpiper,Accidental
Western/Semipalmated Sandpiper,Accidental
peep sp.,Accidental
Calidris sp.,Accidental
Scolopacidae sp.,Accidental
large shorebird sp.,Accidental
shorebird sp.,Accidental
Long-tailed Jaeger,Accidental
Parasitic Jaeger,Accidental
Long-tailed/Parasitic Jaeger,Accidental
Pomarine Jaeger,Accidental
Parasitic/Pomarine Jaeger,Accidental
South Polar Skua,Accidental
jaeger sp.,Accidental
Rhinoceros Auklet,Accidental
Tufted Puffin,Accidental
Horned Puffin,Accidental
Cassin's Auklet,Accidental
Least Auklet,Accidental
Crested Auklet,Accidental
Parakeet Auklet,Accidental
auklet sp.,Accidental
Long-billed Murrelet,Accidental
Marbled Murrelet,Accidental
Pigeon Guillemot,Accidental
Thick-billed Murre,Accidental
Common Murre,Accidental
Thick-billed/Common Murre,Accidental
large alcid sp.,Accidental
Ancient Murrelet,Accidental
Scripps's Murrelet,Accidental
Guadalupe Murrelet,Accidental
Scripps's/Guadalupe Murrelet (Xantus's Murrelet),Accidental
murrelet sp.,Accidental
alcid sp.,Accidental
Swallow-tailed Gull,Accidental
Little Gull,Accidental
Ross's Gull,Accidental
Black-legged Kittiwake,Accidental
Red-legged Kittiwake,Accidental
Sabine's Gull,Accidental
Bonaparte's Gull,Accidental
Black-headed Gull,Accidental
Laughing Gull,Accidental
Franklin's Gull,Accidental
Black-tailed Gull,Accidental
Heermann's Gull,Accidental
Short-billed Gull,Accidental
Common/Short-billed Gull,Accidental
Ring-billed Gull,Accidental
Western Gull,Accidental
American Herring Gull,Accidental
American Herring/Vega Gull,Accidental
Glaucous Gull,Accidental
American Herring x Glaucous Gull (hybrid),Accidental
Lesser Black-backed Gull,Accidental
California Gull,Accidental
Glaucous-winged Gull,Rare
Western x Glaucous-winged Gull (hybrid),Accidental
American Herring x Glaucous-winged Gull (hybrid),Accidental
Glaucous x Glaucous-winged Gull (hybrid),Accidental
American Herring/Glaucous-winged Gull,Accidental
Western/Glaucous-winged Gull,Accidental
Slaty-backed Gull,Accidental
Iceland Gull,Accidental
American Herring/Iceland Gull,Accidental
white-winged gull sp.,Accidental
Larus sp.,Accidental
gull sp.,Accidental
Least Tern,Accidental
Caspian Tern,Accidental
Black Tern,Accidental
Forster's Tern,Accidental
Arctic Tern,Accidental
Common Tern,Accidental
Forster's/Common Tern,Accidental
Common/Arctic Tern,Accidental
Sterna sp.,Accidental
Elegant Tern,Accidental
large tern sp.,Accidental
tern sp.,Accidental
gull/tern sp.,Accidental
Pied-billed Grebe,Accidental
Horned Grebe,Accidental
Red-necked Grebe,Accidental
Eared Grebe,Accidental
Horned/Eared Grebe,Accidental
Podiceps sp.,Accidental
Western Grebe,Accidental
Clark's Grebe,Accidental
Western x Clark's Grebe (hybrid),Accidental
Western/Clark's Grebe,Accidental
grebe sp.,Accidental
Red-throated Loon,Accidental
Arctic Loon,Accidental
Pacific Loon,Accidental
Arctic/Pacific Loon,Accidental
Common Loon,Accidental
Yellow-billed Loon,Accidental
Common/Yellow-billed Loon,Accidental
loon sp.,Accidental
Laysan Albatross,Accidental
Black-footed Albatross,Accidental
Short-tailed Albatross,Accidental
albatross sp.,Accidental
Wilson's Storm-Petrel,Accidental
Fork-tailed Storm-Petrel,Accidental
Leach's Storm-Petrel,Accidental
Leach's/Townsend's Storm-Petrel (white-rumped),Accidental
Ashy Storm-Petrel,Accidental
Hydrobates sp.,Accidental
storm-petrel sp. (dark-rumped),Accidental
storm-petrel sp.,Accidental
Northern Giant-Petrel,Accidental
Northern Fulmar,Accidental
Murphy's Petrel,Accidental
Mottled Petrel,Accidental
Hawaiian Petrel,Accidental
Pterodroma sp.,Accidental
Pink-footed Shearwater,Accidental
Flesh-footed Shearwater,Accidental
Great Shearwater,Accidental
Wedge-tailed Shearwater,Accidental
Buller's Shearwater,Accidental
Sooty Shearwater,Accidental
Short-tailed Shearwater,Accidental
Sooty/Short-tailed Shearwater,Accidental
Manx Shearwater,Accidental
small shearwater sp.,Accidental
shearwater sp.,Accidental
procellariid sp.,Accidental
Red-footed Booby,Accidental
Cocos Booby,Accidental
Nazca Booby,Accidental
Masked/Nazca Booby,Accidental
Brandt's Cormorant,Accidental
Pelagic Cormorant,Accidental
Double-crested Cormorant,Rare
cormorant sp.,Accidental
White-faced Ibis,Accidental
Glossy/White-faced Ibis,Accidental
ibis sp.,Accidental
American Bittern,Accidental
Black-crowned Night Heron,Accidental
Snowy Egret,Accidental
Green Heron,Accidental
Western Cattle-Egret,Accidental
Great Egret,Accidental
Great Blue Heron,Rare
Ardea sp.,Accidental
heron sp.,Accidental
white egret sp.,Accidental
American White Pelican,Accidental
Brown Pelican,Accidental
pelican sp.,Accidental
Turkey Vulture,Accidental
Osprey,Accidental
White-tailed Kite,Accidental
Golden Eagle,Accidental
Sharp-shinned Hawk,Accidental
Cooper's Hawk,Accidental
Sharp-shinned/Cooper's Hawk,Accidental
American Goshawk,Accidental
Cooper's Hawk/American Goshawk,Accidental
Accipitrine hawk sp. (former Accipiter sp.),Accidental
Northern Harrier,Accidental
Bald Eagle,Rare
Golden/Bald Eagle,Accidental
Broad-winged Hawk,Accidental
Red-shouldered Hawk,Accidental
Zone-tailed Hawk,Accidental
Swainson's Hawk,Accidental
Red-tailed Hawk,Rare
Rough-legged Hawk,Accidental
Ferruginous Hawk,Accidental
Buteo sp.,Accidental
Buteo/eagle sp.,Accidental
hawk sp.,Accidental
eagle sp.,Accidental
American Barn Owl,Accidental
Flammulated Owl,Accidental
Western Screech-Owl,Accidental
Snowy Owl,Accidental
Great Horned Owl,Accidental
Bubo sp.,Accidental
Northern Hawk Owl,Accidental
Northern Pygmy-Owl,Accidental
Burrowing Owl,Accidental
Spotted Owl,Accidental
Barred Owl,Accidental
Spotted x Barred Owl (hybrid),Accidental
Spotted/Barred Owl,Accidental
Great Gray Owl,Accidental
Strix sp.,Accidental
Long-eared Owl,Accidental
Short-eared Owl,Accidental
Long-eared/Short-eared Owl,Accidental
Boreal Owl,Accidental
Northern Saw-whet Owl,Accidental
Boreal/Northern Saw-whet Owl,Accidental
owl sp.,Accidental
Belted Kingfisher,Rare
Williamson's Sapsucker,Accidental
Yellow-bellied Sapsucker,Accidental
Red-naped Sapsucker,Accidental
Yellow-bellied x Red-naped Sapsucker (hybrid),Accidental
Yellow-bellied/Red-naped Sapsucker,Accidental
Red-breasted Sapsucker,Accidental
Red-naped x Red-breasted Sapsucker (hybrid),Accidental
Red-naped/Red-breasted Sapsucker,Accidental
sapsucker sp.,Accidental
Lewis's Woodpecker,Accidental
Acorn Woodpecker,Accidental
American Three-toed Woodpecker,Accidental
Black-backed Woodpecker,Accidental
