Common Name,Status
Black-chinned x Rufous Hummingbird (hybrid),Accidental
Anna's x Rufous Hummingbird (hybrid),Accidental
Allen's Hummingbird,Accidental
Rufous x Allen's Hummingbird (hybrid),Accidental
Rufous/Allen's Hummingbird,Accidental
Broad-tailed Hummingbird,Accidental
Anna's Hummingbird x Selasphorus sp. (hybrid),Accidental
Selasphorus sp.,Accidental
Broad-billed Hummingbird,Accidental
hummingbird sp.,Accidental
Virginia Rail,Accidental
Sora,Accidental
Common Gallinule,Accidental
American Coot,Accidental
moorhen/coot/gallinule sp.,Accidental
Yellow Rail,Accidental
rail/crake sp.,Accidental
Sandhill Crane,Accidental
Common Crane,Accidental
Black-necked Stilt,Accidental
American Avocet,Accidental
Black Oystercatcher,Accidental
Black-bellied Plover,Accidental
American Golden-Plover,Accidental
Pacific Golden-Plover,Accidental
American/Pacific Golden-Plover (Lesser Golden-Plover),Accidental
golden-plover sp.,Accidental
Black-bellied Plover/golden-plover sp.,Accidental
Killdeer,Rare
Semipalmated Plover,Accidental
Common Ringed/Semipalmated Plover,Accidental
Siberian Sand-Plover,Accidental
Wilson's Plover,Accidental
Mountain Plover,Accidental
Snowy Plover,Accidental
small plover sp.,Accidental
plover sp.,Accidental
Upland Sandpiper,Accidental
Whimbrel,Accidental
Long-billed Curlew,Accidental
curlew sp.,Accidental
Bar-tailed Godwit,Accidental
Hudsonian Godwit,Accidental
Marbled Godwit,Accidental
Hudsonian/Marbled Godwit,Accidental
godwit sp.,Accidental
Short-billed Dowitcher,Accidental
Long-billed Dowitcher,Accidental
Short-billed/Long-billed Dowitcher,Accidental
Wilson's Snipe,Accidental
snipe sp.,Accidental
Wilson's Phalarope,Accidental
Red Phalarope,Accidental
Red-necked Phalarope,Accidental
Red/Red-necked Phalarope,Accidental
phalarope sp.,Accidental
Spotted Sandpiper,Accidental
Solitary Sandpiper,Accidental
Wandering Tattler,Accidental
Wood Sandpiper,Accidental
Lesser Yellowlegs,Accidental
Willet,Accidental
Greater Yellowlegs,Accidental
Lesser/Greater Yellowlegs,Accidental
Tringa sp.,Accidental
Ruddy Turnstone,Accidental
Black Turnstone,Accidental
Red Knot,Accidental
Surfbird,Accidental
Ruff,Accidental
Sharp-tailed Sandpiper,Accidental
Curlew Sandpiper,Accidental
Stilt Sandpiper,Accidental
Red-necked Stint,Accidental
Buff-breasted Sandpiper,Accidental
Sanderling,Accidental
Dunlin,Accidental
Rock Sandpiper,Accidental
Baird's Sandpiper,Accidental
Little Stint,Accidental
White-rumped Sandpiper,Accidental
Least Sandpiper,Accidental
Pectoral Sandpiper,Accidental
Sharp-tailed/Pectoral Sandpiper,Accidental
Western Sandpiper,Accidental
Semipalmated Sandpiper,Accidental
Western/Semipalmated Sandpiper,Accidental
peep sp.,Accidental
Calidris sp.,Accidental
Scolopacidae sp.,Accidental
large shorebird sp.,Accidental
shorebird sp.,Accidental
Long-tailed Jaeger,Accidental
Parasitic Jaeger,Accidental
Long-tailed/Parasitic Jaeger,Accidental
Pomarine Jaeger,Accidental
Parasitic/Pomarine Jaeger,Accidental
South Polar Skua,Accidental
jaeger sp.,Accidental
jaeger/skua sp.,Accidental
Rhinoceros Auklet,Accidental
Tufted Puffin,Accidental
Horned Puffin,Accidental
puffin sp.,Accidental
Cassin's Auklet,Accidental
Parakeet Auklet,Accidental
auklet sp.,Accidental
Marbled Murrelet,Accidental
Pigeon Guillemot,Accidental
Thick-billed Murre,Accidental
Common Murre,Accidental
Thick-billed/Common Murre,Accidental
large alcid sp.,Accidental
Ancient Murrelet,Accidental
Scripps's Murrelet,Accidental
Scripps's/Guadalupe Murrelet (Xantus's Murrelet),Accidental
Scripps's/Craveri's Murrelet,Accidental
Scripps's/Guadalupe/Craveri's Murrelet,Accidental
murrelet sp.,Accidental
alcid sp.,Accidental
Little Gull,Accidental
Ross's Gull,Accidental
Black-legged Kittiwake,Accidental
Red-legged Kittiwake,Accidental
Sabine's Gull,Accidental
Bonaparte's Gull,Accidental
Black-headed Gull,Accidental
Laughing Gull,Accidental
Franklin's Gull,Accidental
Heermann's Gull,Accidental
Short-billed Gull,Accidental
Common/Short-billed Gull,Accidental
Ring-billed Gull,Accidental
Western Gull,Accidental
American Herring Gull,Accidental
American Herring/Vega Gull,Accidental
Glaucous Gull,Accidental
American Herring x Glaucous Gull (hybrid),Accidental
Lesser Black-backed Gull,Accidental
California Gull,Accidental
Glaucous-winged Gull,Accidental
Western x Glaucous-winged Gull (hybrid),Accidental
American Herring x Glaucous-winged Gull (hybrid),Accidental
Glaucous x Glaucous-winged Gull (hybrid),Accidental
Western/Glaucous-winged Gull,Accidental
Slaty-backed Gull,Accidental
Iceland Gull,Accidental
American Herring/Iceland Gull,Accidental
white-winged gull sp.,Accidental
Larus sp.,Accidental
gull sp.,Accidental
Least Tern,Accidental
Caspian Tern,Accidental
Black Tern,Accidental
Forster's Tern,Accidental
Arctic Tern,Accidental
Common Tern,Accidental
Forster's/Common Tern,Accidental
Common/Arctic Tern,Accidental
Sterna sp.,Accidental
Elegant Tern,Accidental
large tern sp.,Accidental
tern sp.,Accidental
gull/tern sp.,Accidental
Pied-billed Grebe,Accidental
Horned Grebe,Accidental
Red-necked Grebe,Accidental
Eared Grebe,Accidental
Horned/Eared Grebe,Accidental
Western Grebe,Accidental
Clark's Grebe,Accidental
Western x Clark's Grebe (hybrid),Accidental
Western/Clark's Grebe,Accidental
grebe sp.,Accidental
Red-billed Tropicbird,Accidental
Red-throated Loon,Accidental
Arctic Loon,Accidental
Pacific Loon,Accidental
Common Loon,Accidental
Yellow-billed Loon,Accidental
Common/Yellow-billed Loon,Accidental
loon sp.,Accidental
Laysan Albatross,Accidental
Black-footed Albatross,Accidental
Short-tailed Albatross,Accidental
albatross sp.,Accidental
Wilson's Storm-Petrel,Accidental
Fork-tailed Storm-Petrel,Accidental
Leach's Storm-Petrel,Accidental
Ashy Storm-Petrel,Accidental
Black Storm-Petrel,Accidental
storm-petrel sp. (dark-rumped),Accidental
storm-petrel sp. (white-rumped),Accidental
storm-petrel sp.,Accidental
Northern Fulmar,Accidental
Murphy's Petrel,Accidental
Mottled Petrel,Accidental
